name,n_test_rf,mae_rf,n_test_dss,mae_dss,delta_rf_minus_dss,winner
Matt Villalta,2,0.1012839672648626,2,0.002454157918691635,0.09882980934617097,DSS
Matthew Coronato,4,0.19353924925287558,4,0.0015567820519208908,0.1919824672009547,DSS
Matthew Highmore,3,0.10900521271745199,3,0.0019856244325637817,0.10701958828488821,DSS
Matthew Kessel,2,0.11286583544374666,2,0.0027914494276046753,0.11007438601614199,DSS
Matthew Knies,10,0.7056175239264597,10,0.7125551264733077,-0.006937602546847943,RF
Matthew Poitras,4,0.19353924925287555,4,0.0021725408732891083,0.19136670837958644,DSS
Matthew Robertson,2,0.1128658354437467,2,0.0014254115521907806,0.11144042389155592,DSS
Matthew Savoie,2,0.10128396726486262,2,0.001829884946346283,0.09945408231851634,DSS
Matthew Tkachuk,8,0.4099691562485504,8,0.4777559726499021,-0.0677868164013517,RF
Matthew Wood,4,0.10128396726486262,4,0.002285413444042206,0.09899855382082041,DSS
