name,n_test,mae
Marcus Pettersson,31,0.3584234834678711
Mario Ferraro,32,0.25187624571844935
Mark Friedman,5,0.0008249759674072265
Mark Jankowski,36,0.11306916756762399
Mark Kastelic,29,0.3140497176811613
Mark Scheifele,36,0.2931741927233007
Mark Stone,33,0.44236638916261267
Marshall Rifai,8,0.0008404720574617386
Martin Fehervary,28,0.28816428408026695
Martin Fehérváry,8,0.251956133171916
Martin Necas,35,0.4177080661058426
Martin Pospisil,32,0.1272111339494586
Mason Appleton,33,0.27781938603430084
Mason Lohrei,32,0.3143345322459936
Mason Marchment,35,0.4644016934292657
Mason McTavish,31,0.4941338545853092
