name,n_test_rf,mae_rf,n_test_dss,mae_dss,delta_rf_minus_dss,winner
Devin Shore,25,0.25260834506321045,25,0.20083806097507476,0.05177028408813569,DSS
Devon Levi,8,0.08268705489516573,8,0.00045233219861984253,0.08223472269654589,DSS
Devon Toews,34,0.47331833256264877,34,0.47390370509203744,-0.0005853725293886725,RF
Dmitri Buchelnikov,2,0.08116314847758505,2,0.0009875372052192688,0.08017561127236578,DSS
Dmitri Voronkov,29,0.4223442800761564,29,0.5362602364400337,-0.11391595636387736,RF
Dmitry Kulikov,36,0.24154916402894397,36,0.1399501764939891,0.10159898753495486,DSS
Dmitry Orlov,36,0.24105851315343083,36,0.2233844217326906,0.017674091420740223,DSS
Domenick Fensore,2,0.08116314847758505,2,0.0010438933968544006,0.08011925508073064,DSS
Dominic Toninato,10,0.08482052387977866,10,0.0006930887699127197,0.08412743510986594,DSS
Dominik Shine,8,0.20230606351287395,8,0.1262303777039051,0.07607568580896884,DSS
Donovan Sebrango,5,0.43353353202402856,5,0.40607589185237886,0.0274576401716497,DSS
Dougie Hamilton,34,0.3067304146345686,34,0.30057644624920454,0.006153968385364084,DSS
Drake Batherson,34,0.5391886992022941,34,0.5084191365715336,0.030769562630760472,DSS
Drake Caggiula,4,0.33290577296660384,4,0.2511346973478794,0.08177107561872443,DSS
Drew Commesso,4,0.08725877414790771,4,0.0014313161373138428,0.08582745801059387,DSS
Drew Doughty,16,0.4224600442711115,16,0.3792113484814763,0.043248695789635194,DSS
Drew Helleson,26,0.25985637515217885,26,0.19654214525452027,0.06331422989765859,DSS
Drew O'Connor,34,0.25652062072492077,34,0.15149000330882914,0.10503061741609163,DSS
Dryden Hunt,10,0.3553360829416589,10,0.30101545304059985,0.05432062990105907,DSS
Dustin Tokarski,8,0.08573486773032704,8,0.0010622628033161163,0.08467260492701092,DSS
Dustin Wolf,31,0.1739402809686277,31,0.09740764383346803,0.07653263713515968,DSS
Dylan Coghlan,20,0.08421096131274637,20,0.00024323463439941407,0.08396772667834695,DSS
Dylan Cozens,34,0.49054217965678776,34,0.5057918769033516,-0.015249697246563831,RF
Dylan DeMelo,36,0.22092940618125878,36,0.11367592877811855,0.10725347740314023,DSS
Dylan Gambrell,3,0.08319502370102594,3,0.0012166500091552734,0.08197837369187067,DSS
Dylan Guenther,28,0.35147368781869737,28,0.30310765334538053,0.04836603447331683,DSS
Dylan Holloway,34,0.21905001261288554,34,0.16681730528088176,0.052232707332003775,DSS
Dylan James,2,0.08116314847758506,2,0.0009875372052192688,0.08017561127236579,DSS
Dylan Larkin,32,0.5044709156175629,32,0.4546540188603103,0.04981689675725254,DSS
Dylan McIlrath,35,0.1432867151879087,35,0.05937831082514354,0.08390840436276516,DSS
